Categoria;Palabras clave;Frecuencia al interior del grupo;Frecuencia entre los grupos
Gestión de Calidad;inmediata;3;9
Educación;inmediata;4;9
Practicantes - Aprendices;inmediata;5;9
Ventas - Comercial - Administración;dekosascom;1;1
Practicantes - Aprendices;lectiva;8;2
Gastronomia;lectiva;1;2
Project Manager;obra;2;7
Diseño;obra;1;7
Servicio al cliente;obra;1;7
Operativo;obra;107;7
Construcción;obra;51;7
Talento TI;obra;1;7
Ventas - Comercial - Administración;obra;1;7
Servicio al cliente;crew;5;1
Salud;promocional;1;1
Talento TI;dba;16;1
Talento TI;react;48;1
Agropecuario;tradicionalcupo;3;1
Ventas - Comercial - Administración;terrestres;1;2
Servicio al cliente;terrestres;1;2
Talento TI;emergentes;1;1
Operativo;muestra;5;2
Salud;muestra;1;2
Gastronomia;carta;1;1
Ventas - Comercial - Administración;electricas;3;2
Operativo;electricas;4;2
Marketing;direccion;3;6
Practicantes - Aprendices;direccion;4;6
Project Manager;direccion;1;6
Diseño;direccion;1;6
Ventas - Comercial - Administración;direccion;4;6
Juridicos;direccion;1;6
Project Manager;pm;1;6
Operativo;pm;28;6
Salud;pm;21;6
Ventas - Comercial - Administración;pm;6;6
Educación;pm;2;6
Servicio al cliente;pm;2;6
Marketing;patient;1;1
Operativo;sonido;1;1
Operativo;cundinamarca;7;5
Servicio al cliente;cundinamarca;2;5
Agropecuario;cundinamarca;1;5
Ventas - Comercial - Administración;cundinamarca;18;5
Salud;cundinamarca;2;5
Compras;asistente;86;19
Operativo;asistente;15;19
Diseño;asistente;12;19
SST;asistente;4;19
Project Manager;asistente;12;19
Servicio al cliente;asistente;30;19
Talento TI;asistente;5;19
Practicantes - Aprendices;asistente;3;19
Salud;asistente;4;19
Contaduria;asistente;164;19
Recursos Humanos;asistente;25;19
Ventas - Comercial - Administración;asistente;214;19
Gestión de Calidad;asistente;22;19
Logistica;asistente;10;19
Agropecuario;asistente;1;19
Juridicos;asistente;12;19
Marketing;asistente;22;19
Construcción;asistente;3;19
Financiero;asistente;20;19
Ventas - Comercial - Administración;digital;16;5
Marketing;digital;158;5
Talento TI;digital;3;5
Operativo;digital;2;5
Diseño;digital;5;5
Construcción;optica;7;5
Operativo;optica;52;5
Project Manager;optica;1;5
Ventas - Comercial - Administración;optica;8;5
Servicio al cliente;optica;3;5
Salud;disponible;1;3
Practicantes - Aprendices;disponible;4;3
Operativo;disponible;6;3
Ventas - Comercial - Administración;veterinarios;5;2
Salud;veterinarios;2;2
Operativo;fundidor;1;1
Ventas - Comercial - Administración;rumba;1;1
Ventas - Comercial - Administración;ceramicas;1;1
Gestión de Calidad;revisor;5;4
Juridicos;revisor;1;4
Marketing;revisor;1;4
Operativo;revisor;5;4
Salud;bucamos;2;1
Servicio al cliente;site;4;2
Ventas - Comercial - Administración;site;1;2
Servicio al cliente;new;1;1
Operativo;panel;3;2
Construcción;panel;2;2
Gestión de Calidad;riesgo;1;10
Talento TI;riesgo;1;10
Financiero;riesgo;5;10
Project Manager;riesgo;1;10
Psicologia;riesgo;6;10
SST;riesgo;2;10
Operativo;riesgo;3;10
Ventas - Comercial - Administración;riesgo;1;10
Practicantes - Aprendices;riesgo;1;10
Salud;riesgo;9;10
Ventas - Comercial - Administración;apia;1;1
Operativo;operariode;2;1
Operativo;terapeutico;1;1
Operativo;liquidador;1;1
Operativo;reconexion;1;1
Project Manager;segundo;1;2
Educación;segundo;1;2
Diseño;patronaje;1;3
Educación;patronaje;1;3
